"","model","mean","std_err","rank",".metric"
"1","boost_tree",0.828349769403716,0.00109699420955699,1,"accuracy"
"2","boost_tree",0.607663444064274,0.00111493782052472,1,"bal_accuracy"
"3","boost_tree",0.663494745476862,0.00115871590701781,1,"f_meas"
"4","boost_tree",0.322108068088974,0.00231212398978514,1,"kap"
"5","boost_tree",0.693590208423697,0.00186794476999681,1,"roc_auc"
"6","boost_tree",0.835713424200608,0.000855457855328845,2,"accuracy"
"7","boost_tree",0.601515083643496,0.00123166875484498,2,"bal_accuracy"
"8","boost_tree",0.662432154772064,0.00127344162394646,2,"f_meas"
"9","boost_tree",0.318800887050733,0.00265660350193641,2,"kap"
"10","boost_tree",0.698704491339956,0.00165868404043326,2,"roc_auc"
"11","boost_tree",0.843150653950763,0.000253839381292341,3,"accuracy"
"12","boost_tree",0.587927387805952,0.00055668885497258,3,"bal_accuracy"
"13","boost_tree",0.651353983604517,0.000693677115698299,3,"f_meas"
"14","boost_tree",0.298032960778197,0.00144853516851014,3,"kap"
"15","boost_tree",0.701002300986806,0.000832412305914726,3,"roc_auc"
"16","boost_tree",0.846430395221396,0.000486020843467314,4,"accuracy"
"17","boost_tree",0.553604846358802,0.00111204535909733,4,"bal_accuracy"
"18","boost_tree",0.598956165059533,0.00219520223746221,4,"f_meas"
"19","boost_tree",0.20904910373821,0.00387015291886244,4,"kap"
"20","boost_tree",0.693678566547221,0.00186512588892453,4,"roc_auc"
"21","rand_forest",0.843723559441459,0.0004840392718835,5,"accuracy"
"22","rand_forest",0.564682102958809,0.00126998761910102,5,"bal_accuracy"
"23","rand_forest",0.535572937514022,0.0514559224448362,5,"f_meas"
"24","rand_forest",0.23860622301574,0.00371467854546531,5,"kap"
"25","rand_forest",0.693541019805439,0.00170715778211317,5,"roc_auc"
"26","multinom_reg",0.774344450318539,0.00105217694518604,6,"accuracy"
"27","multinom_reg",0.642492137740116,0.00167625244127219,6,"bal_accuracy"
"28","multinom_reg",0.456472797122916,0.00162530550567491,6,"f_meas"
"29","multinom_reg",0.31112731019485,0.00280091515550994,6,"kap"
"30","multinom_reg",0.702193250795791,0.00132363130157713,6,"roc_auc"
"31","boost_tree",0.820460532972723,0.000424863599319138,7,"accuracy"
"32","boost_tree",0.623815741676804,0.000558829107095119,7,"bal_accuracy"
"33","boost_tree",0.449675359333051,0.000644519047835316,7,"f_meas"
"34","boost_tree",0.343137609569767,0.00147708189613159,7,"kap"
"35","boost_tree",0.698323856076462,0.00137850482635296,7,"roc_auc"
"36","boost_tree",0.825390648798202,0.000415442067226873,8,"accuracy"
"37","boost_tree",0.617225436653262,0.000447989348323325,8,"bal_accuracy"
"38","boost_tree",0.448086343323433,0.000494878503444618,8,"f_meas"
"39","boost_tree",0.337054292315748,0.00137886214088363,8,"kap"
"40","boost_tree",0.699609129325552,0.0012654376825697,8,"roc_auc"
"41","boost_tree",0.839171864016935,0.000414803286699158,9,"accuracy"
"42","boost_tree",0.593861887319834,0.000823265806174105,9,"bal_accuracy"
"43","boost_tree",0.43735936122823,0.000621929569254361,9,"f_meas"
"44","boost_tree",0.306550868726333,0.00193428907083983,9,"kap"
"45","boost_tree",0.698638112837272,0.000933589270035505,9,"roc_auc"
"46","rand_forest",0.841594875448673,0.00057228339746855,10,"accuracy"
"47","rand_forest",0.584645051432969,0.00140198933704674,10,"bal_accuracy"
"48","rand_forest",0.430977954740059,0.00118702154294744,10,"f_meas"
"49","rand_forest",0.287959373887945,0.00389312365436073,10,"kap"
"50","rand_forest",0.698758779290272,0.00166260719172469,10,"roc_auc"
"51","boost_tree",0.844165055986938,0.000229258833078869,11,"accuracy"
"52","boost_tree",0.580559750951583,0.00101488819958241,11,"bal_accuracy"
"53","boost_tree",0.428260114778415,0.000895060323347724,11,"f_meas"
"54","boost_tree",0.281244696544435,0.00273245807899873,11,"kap"
"55","boost_tree",0.693219282101934,0.00166979164808876,11,"roc_auc"
"56","rand_forest",0.843013995117724,0.000207161563946495,12,"accuracy"
"57","rand_forest",0.578464630045669,0.000698636638173307,12,"bal_accuracy"
"58","rand_forest",0.425766483198181,0.00071249790598704,12,"f_meas"
"59","rand_forest",0.274674354840257,0.00204941093019521,12,"kap"
"60","rand_forest",0.693575426954355,0.00110819604034098,12,"roc_auc"
"61","rand_forest",0.842409553419516,0.000414044167873183,13,"accuracy"
"62","rand_forest",0.577500806446478,0.000839606501797829,13,"bal_accuracy"
"63","rand_forest",0.424798361803503,0.00102602009404639,13,"f_meas"
"64","rand_forest",0.27153292069237,0.00250760661163079,13,"kap"
"65","rand_forest",0.691508344377459,0.000861448422364688,13,"roc_auc"
"66","rand_forest",0.842961432285537,0.000243102712052534,14,"accuracy"
"67","rand_forest",0.574332102918871,0.000773830237663994,14,"bal_accuracy"
"68","rand_forest",0.422221005437571,0.000779893170470661,14,"f_meas"
"69","rand_forest",0.263644913338448,0.00230081067855178,14,"kap"
"70","rand_forest",0.691847359718928,0.00114684391036932,14,"roc_auc"
"71","rand_forest",0.842493649834756,0.000235737448046737,15,"accuracy"
"72","rand_forest",0.574744042582017,0.000724447525061599,15,"bal_accuracy"
"73","rand_forest",0.42208372747913,0.000848835427268748,15,"f_meas"
"74","rand_forest",0.26452741491275,0.00214646464651772,15,"kap"
"75","rand_forest",0.689238297046726,0.000875121083521318,15,"roc_auc"
"76","rand_forest",0.841295285552113,0.000414655360020919,16,"accuracy"
"77","rand_forest",0.574360897251833,0.000269116224110378,16,"bal_accuracy"
"78","rand_forest",0.421823398737256,0.000443218142218095,16,"f_meas"
"79","rand_forest",0.261790970818866,0.000844927113458207,16,"kap"
"80","rand_forest",0.686628979797059,0.000665579331223281,16,"roc_auc"
"81","rand_forest",0.839303263016827,0.00051109662734177,17,"accuracy"
"82","rand_forest",0.571075009281722,0.000872662895738461,17,"bal_accuracy"
"83","rand_forest",0.41763077991609,0.00092326301025443,17,"f_meas"
"84","rand_forest",0.250795356170403,0.00254921821941347,17,"kap"
"85","rand_forest",0.679943235375023,0.00078787043558023,17,"roc_auc"
"86","rand_forest",0.840165250893185,0.000259910230294825,18,"accuracy"
"87","rand_forest",0.570114954761104,0.000673678095077583,18,"bal_accuracy"
"88","rand_forest",0.416985073281431,0.000763523256632379,18,"f_meas"
"89","rand_forest",0.249141824828718,0.00193232465565799,18,"kap"
"90","rand_forest",0.682379743812091,0.00138245182380491,18,"roc_auc"
"91","rand_forest",0.841878698139318,0.000433979327029518,19,"accuracy"
"92","rand_forest",0.568780539567427,0.00108428858662046,19,"bal_accuracy"
"93","rand_forest",0.416618292309849,0.00112492331261838,19,"f_meas"
"94","rand_forest",0.247327504295119,0.00357925790978188,19,"kap"
"95","rand_forest",0.690492637938237,0.0010487600009756,19,"roc_auc"
"96","boost_tree",0.846630116800397,0.000353905567309149,20,"accuracy"
"97","boost_tree",0.562086771927192,0.00086776938441987,20,"bal_accuracy"
"98","boost_tree",0.410237879887632,0.00112755195796891,20,"f_meas"
"99","boost_tree",0.234317438887878,0.00295820372256361,20,"kap"
"100","boost_tree",0.68907156063158,0.00158043043480027,20,"roc_auc"
"101","boost_tree",0.833747667403717,0.000674411818389505,21,"accuracy"
"102","boost_tree",0.563603913893748,0.000908270409184727,21,"bal_accuracy"
"103","boost_tree",0.40942132482114,0.0012693233054739,21,"f_meas"
"104","boost_tree",0.223942315451834,0.00316379335319152,21,"kap"
"105","boost_tree",0.662873836328511,0.00100901199995251,21,"roc_auc"
